mu sigma
2.2081315732835733 4.417273413428467
3.355570989692604 4.585346370348664
3.228932290567002 5.005234350327756
3.342839504532411 4.557456821684815
2.5092268528679056 5.143658110358704
2.2187397668987137 5.00577618293084
2.2051283807511157 4.992574462395545
2.3047595399423377 5.0623684191783545
2.13792165949587 4.916308463061848
2.459805222903783 5.127350991155084
2.076264000860915 4.776080180531961
2.8645883801864294 4.253961130636634
3.064239059640659 5.096174304335388
3.36497184405445 4.774636534232078
2.5876526755761486 5.1527748099623585
3.2658311720181654 4.958474329052801
2.0947482785860725 4.826621426528924
2.9250431740199465 5.139455941606405
2.9764122567077385 5.12611099101484
3.034456585847063 4.30327752883854
3.0355312843072872 5.104893677458807
2.508925920762503 5.135689104205776
2.873194033783441 4.258540781584542
2.2927989433443026 5.0477489061758885
2.123322451539256 4.880095078152149
3.3365523141443916 4.573924509326203
2.6495985797282846 4.249827359068369
2.9291903270603994 5.134320936547573
3.2767069998297895 4.937720900397313
2.8056476230521494 5.153447644955395
2.762562410559167 4.248451597748717
2.287348504765892 5.040018587158192
3.3425463412221585 4.823647800502075
2.096380011154198 4.806619543807708
3.1840785263006404 5.01894423541089
2.956728524564312 5.123218240601901
2.8116098919606154 4.254787268892325
2.53794424440703 5.134462720964712
2.570534877598361 4.263826685158968
2.5500442479667695 5.136668081484133
2.646547889967678 5.148250380572779
3.3119604076602913 4.543139161707849
2.594819331779653 5.141339001366746
3.3521644930586687 4.7528651301888285
2.77809533850373 5.147113939463379
2.533073687148896 5.128392719935695
2.603189031242043 5.140372221975138
3.183947661182583 5.007927920287811
2.9580111906135924 5.114613287961248
2.1139768021457623 4.59404146118359
2.4976182124862856 4.286530037381758
2.8284369842817085 5.138606565839087
2.169003791174119 4.496137758930965
3.0261732945051296 5.090376926690661
2.23365281977804 4.426191762400267
2.177560681649248 4.924466783659732
3.295222043095925 4.882399925737011
2.4633186442504593 4.298767874434789
3.268782013791994 4.916719626433178
3.1742971360145367 5.006857364520775
2.110080175791978 4.6256551035065
2.5378446493184397 4.280982860610987
2.8086151892831817 5.1326319499918345
2.3235484459154727 5.036409969811517
2.301965390290121 4.383183442412884
2.357217544110389 4.350061719174789
2.2620518285141307 4.991882216902352
2.1332965009540974 4.827628456400458
2.456802814703957 5.091039191577728
2.4286363853056776 5.080504925835615
2.403916005572688 5.070494718875924
3.1798848345425323 4.4160346864141
3.3323879731992485 4.703760430795914
3.3322498325305894 4.714453832623373
2.6644405475462065 4.268983183059371
2.4606855869592428 4.310014682812009
2.808849108735168 5.125446776979946
3.0952448354228332 5.041339906052375
2.486589600661255 5.096584509864438
2.2620561095535123 4.42062236367467
2.780111561802407 5.126913894492594
3.2131681198049917 4.956049087722439
2.8159637227670387 5.123735022166347
2.4715824284449353 5.0913869763065245
3.2958163892383237 4.5640553870579605
2.506411138576021 5.100759698950503
3.193215003742494 4.432082422293213
3.2131760931024727 4.954100223761901
2.741172776984111 4.269630516845256
2.13506465870754 4.8108580345723215
3.13893928365363 5.01186933834386
2.7693928110982706 5.1252706381907265
3.106686032972827 5.031272246289732
2.824827953505913 4.27705750616801
3.279946657926625 4.86148824172738
3.305501515398113 4.603383369102509
2.714400559989624 4.2730231618735575
2.4190324915768304 5.06557260438319
2.1765258697250975 4.527058874258775
2.885806896202028 4.290409017547753
2.387434115857418 5.048160144055098
2.290060523729684 4.410079247217631
2.603000219766937 5.110212286142229
3.3008405403932213 4.607569911021112
2.132256808992699 4.749057931741944
2.1599777045833237 4.571446297530156
3.08054375659909 5.029381204571628
2.133149912338032 4.712085449413846
3.296290761358196 4.793237873318226
2.134854851685356 4.672188861264025
2.477195054365187 4.319159066979523
3.1001550225132575 5.016757049528979
2.744659261327943 5.109763068821246
2.6012102308509055 5.100673952694729
2.7119236491340515 4.283089387061354
2.9027172402128576 4.30466933077976
3.1486822294416763 4.41921843877776
3.286202825768174 4.60644690167176
3.2927102099939654 4.767617192930612
2.269120451790673 4.952690217451272
2.2333293269950754 4.916331620438397
2.383717146644559 5.027613860932645
3.0532391454368546 4.363984232967089
2.2521996340074892 4.464123908787238
2.1522277658495645 4.755577771277579
2.3036895958686405 4.420850182819402
2.2584399202744376 4.936939206581593
2.8490439907742227 5.090183287775316
2.1540182803577372 4.747705605772686
2.1767421403759855 4.578485441796238
2.209992050761012 4.520396389599186
3.195808250653687 4.922879255145011
2.2692298159762947 4.452899831436295
3.1324234349545184 4.977136339930576
2.759782950860506 5.095700592543302
3.23327243325747 4.523766953253763
2.6938250878664087 4.29268843612093
3.163822235762075 4.949512711820977
2.1713803834681555 4.79422110589753
2.4653272309404515 4.338000942838142
3.273575367662336 4.61012767062345
2.1594596130647714 4.659484636845182
2.8179500619658224 4.3006310455835095
3.283288597605128 4.737827535007286
2.186254063748225 4.574711251914377
2.1642593054439803 4.7534337143249346
3.2826103678283776 4.670883327257812
2.558251293457573 5.074827788073609
2.1759573960427456 4.604342554504061
2.426497116525428 4.357137567957325
2.1837697951188457 4.586832199673992
3.054411007959103 4.376709962881156
2.182592631366991 4.805169273275659
2.164921679826506 4.7291424709480605
3.063519557909471 4.382918767235282
2.895536065898279 5.069248517154417
2.8132447940800525 4.303788700054335
2.666666624201591 5.086138042539893
2.929356769904825 4.328347402005015
2.168873901487606 4.653232831110895
3.2593726411895503 4.8000412596329545
2.196128841875747 4.826790086608529
2.228634857140713 4.877848177660426
3.109775348025896 4.976441087164374
2.7197055265116923 5.085310390874207
2.6364199415069884 4.305590132014138
2.7656000446144366 5.083433353496401
2.5890917946912233 4.313408815563178
2.7648132584366376 5.082574072516005
3.2123921722608224 4.87421373179843
2.927172441796437 5.053969902197495
3.031159687823361 4.3728398657612475
2.4526021762926984 5.032718405723834
2.5570903352144034 5.063909268932582
2.1994160865879064 4.578626801125399
3.2502966489762914 4.800202017537223
2.6203698229970773 5.073161386472238
3.039719159848776 5.007996220115749
3.267514095692745 4.710170617568682
3.0461990746690395 5.0046626233707014
2.424451712887809 5.016613396144411
2.826627438752011 4.313892836220493
2.3742538328589995 4.990926773926585
3.245668346039321 4.801463527060081
3.212988737679137 4.533038206082448
3.252132098496089 4.7766998909804235
2.191187333135707 4.77564940278909
3.002790898897278 4.365523298609046
2.2034595299596984 4.804536372107092
3.098402700800694 4.967646885135634
3.2265180090888728 4.560782904888513
2.1877339155252478 4.75135126907487
2.969778790384254 5.03109608664802
3.260230058869307 4.699212500793368
2.72958749755803 5.0723220601714445
2.899318321949696 4.333076053917387
3.2169144129242735 4.841450108345827
2.199250198425961 4.6107434577279784
2.199746943937778 4.78188376849491
2.3325170744841524 4.433527742309852
2.586980780286623 5.05774211603031
2.222467601812144 4.830947121248532
3.1982186022847037 4.523927349309228
2.237317135146557 4.853078321229097
2.2045148134571875 4.787833235880265
2.4383757707977645 4.3726751342755605
2.5246482352378448 4.34225357097668
3.155424040422907 4.911086641136199
2.238164161505502 4.847509907353017
2.1988806855862473 4.642332107539491
2.2978597718872256 4.915199311332287
3.056981953665181 4.97985726010138
2.790277961839183 4.3210350405633875
2.229427582566639 4.563274064576071
2.301415073164899 4.916963978871153
2.2028427052476096 4.752434372740058
3.1062891107143624 4.441366003683086
3.136322370155484 4.468232438869633
2.330495068193021 4.448532970444183
2.997404737805029 4.378931455236956
2.2019931292816053 4.688611449444129
2.707413760251982 5.055445823040482
2.3341492284480396 4.449731846172591
2.5278893232257165 5.029238853366954
2.6843961159170804 4.324568052180325
3.007789566935975 4.386344553569378
2.895382530849717 4.347234148300332
2.3987840463066537 4.408226808437422
3.2354660234325703 4.7016213629729195
2.456738810394243 5.000391736510057
2.5899955512644297 5.039425931292996
3.1198290421961365 4.463881968613723
3.0187458139351286 4.395453355047695
3.101186068427415 4.9346123153844665
2.772915653782152 4.3286796406687875
2.215284960871504 4.643172940472278
2.6449918041840896 5.046712480486846
